meet_name,meet_year,meet_type,gender,event_name,rank,swimmer_name,university,time,round_used,source_page,extraction_notes
Sri Lanka University Games,2025,SLUG,male,200 freestyle,3,K. L. R. T. Gunawardana,COL,02:19.09,final,10,
Sri Lanka University Games,2025,SLUG,male,200 freestyle,4,P. U. Jayasekera,COL,02:20.69,final,10,
Sri Lanka University Games,2025,SLUG,male,200 freestyle,5,A. M. Vidanage,UVA,02:22.20,final,10,
Sri Lanka University Games,2025,SLUG,female,100 butterfly,1,M. H. Hewage,PER,01:19.81,final,11,
Sri Lanka University Games,2025,SLUG,female,100 butterfly,2,K. A. D. T. N. Perera,KEL,01:22.62,final,11,
Sri Lanka University Games,2025,SLUG,female,100 butterfly,3,K. D. P. J. Munasinghe,COL,01:30.44,final,11,
Sri Lanka University Games,2025,SLUG,female,100 butterfly,4,C. J. R. Pathirana,SJP,01:32.48,final,11,
Sri Lanka University Games,2025,SLUG,female,100 butterfly,5,W. L. M. Minsandhi,SJP,01:35.50,final,11,
Sri Lanka University Games,2025,SLUG,male,50 butterfly,1,S. M. S. S. Senarathna,KEL,00:25.50,final,12,NMR
Sri Lanka University Games,2025,SLUG,male,50 butterfly,2,K. C. B. Peries,MOR,00:27.96,final,12,Tied 2nd with I. P. Liyanage
Sri Lanka University Games,2025,SLUG,male,50 butterfly,3,I. P. Liyanage,PER,00:27.96,final,12,Tied 2nd; source lists both as rank 2; assigned rank 3 here to fit schema
Sri Lanka University Games,2025,SLUG,male,50 butterfly,4,P. U. Jayasekera,COL,00:29.69,final,12,
Sri Lanka University Games,2025,SLUG,male,50 butterfly,5,T. Samaradiwakara,PER,00:30.78,final,12,
Sri Lanka University Games,2025,SLUG,female,200 individual medley,1,M. H. Hewage,PER,03:06.66,final,13,
Sri Lanka University Games,2025,SLUG,female,200 individual medley,2,M. A. G. S. Perera,COL,03:12.57,final,13,
Sri Lanka University Games,2025,SLUG,female,200 individual medley,3,C. J. R. Pathirana,SJP,03:20.98,final,13,
Sri Lanka University Games,2025,SLUG,female,200 individual medley,4,K. D. P. J. Munasinghe,COL,03:25.31,final,13,
Sri Lanka University Games,2025,SLUG,female,200 individual medley,5,K. A. S. T. Kanuwanaarachchi,MOR,03:33.25,final,13,
Sri Lanka University Games,2025,SLUG,male,200 breaststroke,1,W. O. D. Perera,RAJ,02:53.91,final,14,
Sri Lanka University Games,2025,SLUG,male,200 breaststroke,2,K. G. K. R. Kariyawasam,MOR,02:54.02,final,14,
Sri Lanka University Games,2025,SLUG,male,200 breaststroke,3,V. A. Kamalasinghe,RUH,02:57.31,final,14,
Sri Lanka University Games,2025,SLUG,male,200 breaststroke,4,S. V. Amunugama,MOR,02:57.57,final,14,
Sri Lanka University Games,2025,SLUG,male,200 breaststroke,5,W. A. K. Gayanuka,COL,03:04.94,final,14,
Sri Lanka University Games,2025,SLUG,male,200 butterfly,1,S. M. S. S. Senarathna,KEL,02:17.34,final,17,NMR; Day 2 page 1
Sri Lanka University Games,2025,SLUG,male,200 butterfly,2,H. A. K. Eranda,COL,02:44.81,final,17,
Sri Lanka University Games,2025,SLUG,male,200 butterfly,3,K. C. B. Peries,MOR,02:55.54,final,17,
Sri Lanka University Games,2025,SLUG,male,200 butterfly,4,H. O. C. Hiripitiya,COL,03:02.87,final,17,
Sri Lanka University Games,2025,SLUG,male,200 butterfly,5,H. G. N. H. Herath,KEL,03:10.69,final,17,
Sri Lanka University Games,2025,SLUG,female,50 butterfly,1,H. M. S. U. Herath,KEL,00:31.06,final,18,NMR; Day 2 page 2
Sri Lanka University Games,2025,SLUG,female,50 butterfly,2,T. N. G. Dissanayake,PER,00:35.69,final,18,
Sri Lanka University Games,2025,SLUG,female,50 butterfly,3,C. J. R. Pathirana,SJP,00:38.02,final,18,
Sri Lanka University Games,2025,SLUG,female,50 butterfly,4,K. D. P. J. Munasinghe,COL,00:39.12,final,18,
Sri Lanka University Games,2025,SLUG,female,50 butterfly,5,H. R. Vitharana,PER,00:39.40,final,18,
Sri Lanka University Games,2025,SLUG,male,100 freestyle,1,I. P. Liyanage,PER,00:58.15,final,19-20,Day 2 pages 3-4
Sri Lanka University Games,2025,SLUG,male,100 freestyle,2,H. N. C. De Silva,SJP,00:59.40,final,19-20,
Sri Lanka University Games,2025,SLUG,male,100 freestyle,3,H. A. K. Eranda,COL,01:01.71,final,19-20,
Sri Lanka University Games,2025,SLUG,male,100 freestyle,4,G. S. Tharinda,JAF,01:03.30,final,19-20,
Sri Lanka University Games,2025,SLUG,male,100 freestyle,5,J. S. K. B. Jayasekera,KEL,01:03.83,final,19-20,
Sri Lanka University Games,2025,SLUG,female,50 breaststroke,1,T. N. G. Dissanayake,PER,00:38.12,final,21,NMR; Day 2 page 5
Sri Lanka University Games,2025,SLUG,female,50 breaststroke,2,M. A. G. S. Perera,COL,00:41.53,final,21,
Sri Lanka University Games,2025,SLUG,female,50 breaststroke,3,N. L. D. N. Nanayakkara,SJP,00:43.04,final,21,
Sri Lanka University Games,2025,SLUG,female,50 breaststroke,4,D. D. N. Dureshma,SJP,00:46.78,final,21,
Sri Lanka University Games,2025,SLUG,female,50 breaststroke,5,A. S. D. Herath,COL,00:47.30,final,21,
Sri Lanka University Games,2025,SLUG,male,100 backstroke,1,C. D. Ampavila,COL,01:06.06,final,22,NMR; Day 2 page 6
Sri Lanka University Games,2025,SLUG,male,100 backstroke,2,H. N. C. De Silva,SJP,01:07.78,final,22,
Sri Lanka University Games,2025,SLUG,male,100 backstroke,3,R. Sooriyabandara,MOR,01:14.27,final,22,
Sri Lanka University Games,2025,SLUG,male,100 backstroke,4,K. A. S. Dalapathadu,SJP,01:15.53,final,22,
Sri Lanka University Games,2025,SLUG,male,100 backstroke,5,M. R. A. Rasheed,KEL,01:15.90,final,22,
Sri Lanka University Games,2025,SLUG,female,50 freestyle,1,H. M. S. U. Herath,KEL,00:29.75,final,23,NMR; Day 2 page 7
Sri Lanka University Games,2025,SLUG,female,50 freestyle,2,K. I. M. C. T. Ilangasinghe,SJP,00:30.91,final,23,
Sri Lanka University Games,2025,SLUG,female,50 freestyle,3,C. C. Y. S. Boralessa,COL,00:33.88,final,23,
Sri Lanka University Games,2025,SLUG,female,50 freestyle,4,T. N. Peiris,SJP,00:34.15,final,23,
Sri Lanka University Games,2025,SLUG,female,50 freestyle,5,H. R. Vitharana,PER,00:35.52,final,23,
Sri Lanka University Games,2025,SLUG,male,50 breaststroke,1,W. A. C. Pavithra,SJP,00:31.95,final,25,NMR; Day 2 pages 8-9
Sri Lanka University Games,2025,SLUG,male,50 breaststroke,2,W. O. D. Perera,RAJ,00:34.00,final,25,
Sri Lanka University Games,2025,SLUG,male,50 breaststroke,3,R. A. L. H. Randeni,COL,00:34.94,final,25,
Sri Lanka University Games,2025,SLUG,male,50 breaststroke,4,K. G. K. R. Kariyawasam,MOR,00:35.70,final,25,
Sri Lanka University Games,2025,SLUG,male,50 breaststroke,5,W. A. K. Gayanuka,COL,00:36.06,final,25,
Sri Lanka University Games,2025,SLUG,female,50 backstroke,1,H. M. S. U. Herath,KEL,00:34.84,final,26,Day 2 page 10
Sri Lanka University Games,2025,SLUG,female,50 backstroke,2,I. A. Ranasinghe,COL,00:36.31,final,26,
Sri Lanka University Games,2025,SLUG,female,50 backstroke,3,K. I. M. C. T. Ilangasinghe,SJP,00:37.74,final,26,
Sri Lanka University Games,2025,SLUG,female,50 backstroke,4,M. M. I. S. Mapa,PER,00:38.38,final,26,
Sri Lanka University Games,2025,SLUG,female,50 backstroke,5,K. A. S. T. Kanuwanaarachchi,MOR,00:40.18,final,26,
Sri Lanka University Games,2025,SLUG,male,50 backstroke,1,C. D. Ampavila,COL,00:29.44,final,28,NMR; Day 2 pages 11-12
Sri Lanka University Games,2025,SLUG,male,50 backstroke,2,H. N. C. De Silva,SJP,00:31.02,final,28,
Sri Lanka University Games,2025,SLUG,male,50 backstroke,3,S. Rithesh,MOR,00:31.28,final,28,
Sri Lanka University Games,2025,SLUG,male,50 backstroke,4,K. A. S. Dalapathadu,SJP,00:32.85,final,28,
Sri Lanka University Games,2025,SLUG,male,50 backstroke,5,R. Sooriyabandara,MOR,00:33.23,final,28,
Sri Lanka University Games,2025,SLUG,male,50 freestyle,1,I. P. Liyanage,PER,00:25.72,final,30,Day 2 pages 13-14
Sri Lanka University Games,2025,SLUG,male,50 freestyle,2,S. Rithesh,MOR,00:26.00,final,30,
Sri Lanka University Games,2025,SLUG,male,50 freestyle,3,G. S. Tharinda,JAF,00:27.56,final,30,
Sri Lanka University Games,2025,SLUG,male,50 freestyle,4,P. U. Jayasekera,COL,00:27.69,final,30,
Sri Lanka University Games,2025,SLUG,male,50 freestyle,5,R. Sooriyabandara,MOR,00:27.86,final,30,
